#rno k i j rlen rwid rgrd rtp rbth rhk man ncon ustrf ndv line_id
117 1 687 550 237.24323 35.56821795064407 0.0001622630297747 199.52527796385755 1 1.0 0.0370000004768371 2 1.0 0 13434629
118 1 687 549 135.56677 35.57247247977623 0.000275068365467 199.48678215935968 1 1.0 0.0370000004768371 2 1.0 0 13434629
119 1 686 548 225.56718 35.57659375867082 0.0001567843451965 199.4494920288472 1 1.0 0.0370000004768371 2 1.0 0 13434629
120 1 686 547 116.926765 35.58050231807417 0.000199199238286 199.4141266255357 1 1.0 0.0370000004768371 2 1.0 0 13434629
121 1 685 547 108.64042 35.583076502811444 0.0002727540259819 199.3908349029244 1 1.0 0.0370000004768371 2 1.0 0 13434629
122 1 685 546 178.32985 35.58635142287052 0.0001973547255168 199.36120279125603 1 1.0 0.0370000004768371 2 1.0 0 13434629
123 1 632 567 149.85675 9.162319176060814 0.0011086837380934 206.3657551996348 1 0.2 0.0370000004768371 2 1.0 0 13433895
124 1 633 568 201.05643 9.17832881620437 0.000946922290621 206.1996114573249 1 0.2 0.0370000004768371 2 1.0 0 13433895
125 1 634 568 201.05643 9.196674330112735 0.000736018914594 206.00922664492413 1 0.2 0.0370000004768371 2 1.0 0 13433895
126 1 635 568 111.495766 9.210933837327056 0.0013954022567743 205.86124531175 1 0.2 0.0370000004768371 2 1.0 0 13433895
127 1 558 548 200.62762 7.099163269269452 0.0006643592321664 220.0119100385579 1 0.2 0.0370000004768371 2 1.0 0 13433317
128 1 559 548 200.82469 7.120381923159768 0.0006711121849743 219.8786212239859 1 0.2 0.0370000004768371 2 1.0 0 13433317
129 1 560 548 205.10655 7.141837310358397 0.0006640232517073 219.7438453262937 1 0.2 0.0370000004768371 2 1.0 0 13433317
130 1 561 548 205.10046 7.163518691522667 0.0005100234323966 219.60764980660585 1 0.2 0.0370000004768371 2 1.0 0 13433317
131 1 562 548 109.9622 7.180171247246927 0.0009555251475211 219.50304376403813 1 0.2 0.0370000004768371 2 1.0 0 13433317
132 1 563 549 206.5029 7.19689792346901 0.0006585550221793 219.39797212014892 1 0.2 0.0370000004768371 2 1.0 0 13433317
133 1 564 549 203.09572 7.218547147899195 0.000659398498922 219.261978598806 1 0.2 0.0370000004768371 2 1.0 0 13433317
134 1 565 549 200.26071 7.239866443205363 0.000663699251629 219.12805758696624 1 0.2 0.0370000004768371 2 1.0 0 13433317
135 1 566 549 200.0595 7.261025251632799 0.0006978689362321 218.9951447025002 1 0.2 0.0370000004768371 2 1.0 0 13433317
136 1 567 549 220.44765 7.283251039078874 0.0006061249764769 218.85552939622636 1 0.2 0.0370000004768371 2 1.0 0 13433317
137 1 568 548 181.9986 7.30452222832378 0.0007013495563498 218.72191057131664 1 0.2 0.0370000004768371 2 1.0 0 13433317
138 1 569 548 202.45442 7.324842367963775 0.0006687989570988 218.5942659366215 1 0.2 0.0370000004768371 2 1.0 0 13433317
139 1 570 548 205.36002 7.346397315869396 0.0005507903683896 218.4588646303298 1 0.2 0.0370000004768371 2 1.0 0 13433317
140 1 571 548 135.31656 7.364403693325756 0.0010968873177904 218.34575431153672 1 0.2 0.0370000004768371 2 1.0 0 13433317
