per,nseg,icalc,outseg,iupseg,iprior,nstrpts,flow,runoff,etsw,pptsw,roughch,roughbk,cdpth,fdpth,awdth,bwdth,hcond1,thickm1,elevup,width1,depth1,thts1,thti1,eps1,uhc1,hcond2,thickm2,elevdn,width2,depth2,thts2,thti2,eps2,uhc2
0,571,1,583,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.60608,7.506118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.41655,7.6407633,0.0,0.0,0.0,0.0,0.0
0,572,1,584,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.84572,14.039126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.65869,14.118959,0.0,0.0,0.0,0.0,0.0
0,573,1,585,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.61469,5.2457056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.33687,5.548011,0.0,0.0,0.0,0.0,0.0
0,574,1,586,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.4852,5.6615415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.4852,5.6936574,0.0,0.0,0.0,0.0,0.0
0,575,1,587,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.37814,24.75944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.52968,24.836605,0.0,0.0,0.0,0.0,0.0
0,576,1,588,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.32378,49.39587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.32378,49.40346,0.0,0.0,0.0,0.0,0.0
0,577,1,589,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.42671,11.362218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.35063,11.430555,0.0,0.0,0.0,0.0,0.0
0,578,1,590,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.682,6.400989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.48578,6.7544713,0.0,0.0,0.0,0.0,0.0
0,579,1,591,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.29752,14.255114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.16048,14.289467,0.0,0.0,0.0,0.0,0.0
0,580,1,592,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.27023,94.43245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.27023,94.46041,0.0,0.0,0.0,0.0,0.0
0,581,1,592,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0855,19.11852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.94247,19.142927,0.0,0.0,0.0,0.0,0.0
0,582,1,593,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.05737,15.638233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.53276,15.812329,0.0,0.0,0.0,0.0,0.0
0,583,1,597,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.41655,7.6407633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.98766,7.6997256,0.0,0.0,0.0,0.0,0.0
0,584,1,598,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.65869,14.209114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.84781,14.378616,0.0,0.0,0.0,0.0,0.0
0,585,1,599,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.33687,6.4264717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.8455,6.7970796,0.0,0.0,0.0,0.0,0.0
0,586,1,600,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.4852,5.935693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.4852,5.9844112,0.0,0.0,0.0,0.0,0.0
0,587,1,601,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.52968,24.836605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.86575,24.848682,0.0,0.0,0.0,0.0,0.0
0,588,1,602,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.32378,49.49135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.32378,49.506832,0.0,0.0,0.0,0.0,0.0
0,589,1,603,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.35063,11.990953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.09225,12.126157,0.0,0.0,0.0,0.0,0.0
0,590,1,604,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.48578,7.0013065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.78386,7.2975073,0.0,0.0,0.0,0.0,0.0
0,591,1,604,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.16048,14.378016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.78386,14.609315,0.0,0.0,0.0,0.0,0.0
0,592,1,605,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.27023,96.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.27023,96.45163,0.0,0.0,0.0,0.0,0.0
0,593,1,606,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.53276,15.923949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.79893,16.161594,0.0,0.0,0.0,0.0,0.0
0,594,1,608,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.15369,5.0656514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.04636,5.4536357,0.0,0.0,0.0,0.0,0.0
